"cbsa","geotype","groups","yr","poor20shsig","poor20sh","poor40shsig","poor40sh"
15980,"Metro","All","00to0509",-1,-0.12385,-1,-0.02434
15980,"Metro","All","0509to1014",1,0.36731,1,0.06935
15980,"Metro","Black","00to0509",-1,-0.21724,-1,-0.07285
15980,"Metro","Black","0509to1014",1,0.28846,1,0.12027
15980,"Metro","Hispanic","00to0509",-1,-0.1513,0,-0.01655
15980,"Metro","Hispanic","0509to1014",1,0.47752,1,0.05238
15980,"Metro","White","00to0509",-1,-0.07444,-1,-0.00344
15980,"Metro","White","0509to1014",1,0.30623,1,0.07074
15980,"Suburb","All","00to0509",-1,-0.13074,-1,-0.02535
15980,"Suburb","All","0509to1014",1,0.37345,1,0.08472
15980,"Suburb","Black","00to0509",-1,-0.18841,0,-0.06185
15980,"Suburb","Black","0509to1014",1,0.25292,1,0.12421
15980,"Suburb","Hispanic","00to0509",-1,-0.13619,0,-0.01537
15980,"Suburb","Hispanic","0509to1014",1,0.476,1,0.0619
15980,"Suburb","White","00to0509",-1,-0.09246,-1,-0.00436
15980,"Suburb","White","0509to1014",1,0.32843,1,0.09503
16700,"City","All","00to0509",-1,-0.086,-1,-0.11098
16700,"City","All","0509to1014",0,-0.00676,1,0.13144
16700,"City","Black","00to0509",0,-0.06341,-1,-0.15839
16700,"City","Black","0509to1014",0,-0.05231,1,0.10138
16700,"City","Hispanic","00to0509",0,-0.59875,0,-0.24517
16700,"City","Hispanic","0509to1014",0,0.09004,0,0.08533
16700,"City","White","00to0509",0,0.08107,1,0.09989
16700,"City","White","0509to1014",0,-0.007,1,0.15636
16700,"Metro","All","00to0509",0,0.02176,-1,-0.01669
16700,"Metro","All","0509to1014",1,0.05545,1,0.0245
16700,"Metro","Black","00to0509",0,0.02153,-1,-0.03572
16700,"Metro","Black","0509to1014",0,0.0538,1,0.05754
16700,"Metro","Hispanic","00to0509",0,-0.14581,0,0.01061
16700,"Metro","Hispanic","0509to1014",0,0.20221,0,-0.06639
16700,"Metro","White","00to0509",1,0.0958,1,0.03332
16700,"Metro","White","0509to1014",0,0.04402,0,0.01431
16700,"Suburb","All","00to0509",1,0.0448,0,0.00453
16700,"Suburb","All","0509to1014",1,0.08123,0,0.01014
16700,"Suburb","Black","00to0509",0,0.0519,0,0.00407
16700,"Suburb","Black","0509to1014",0,0.08407,1,0.04761
16700,"Suburb","Hispanic","00to0509",0,-0.10848,0,0.03204
16700,"Suburb","Hispanic","0509to1014",0,0.20484,0,-0.07722
16700,"Suburb","White","00to0509",1,0.07857,0,0.00927
16700,"Suburb","White","0509to1014",1,0.07647,0,-0.00295
16740,"City","All","00to0509",1,0.13035,1,0.06297
16740,"City","All","0509to1014",1,0.22182,1,0.05633
16740,"City","Black","00to0509",1,0.08728,1,0.10923
16740,"City","Black","0509to1014",1,0.15019,0,0.03404
16740,"City","Hispanic","00to0509",1,0.25648,1,0.02602
16740,"City","Hispanic","0509to1014",1,0.27507,1,0.07881
16740,"City","White","00to0509",1,0.13188,0,0.01063
16740,"City","White","0509to1014",1,0.20713,1,0.04573
16740,"Metro","All","00to0509",1,0.16026,1,0.02791
16740,"Metro","All","0509to1014",1,0.18736,1,0.06129
16740,"Metro","Black","00to0509",1,0.14588,1,0.06751
16740,"Metro","Black","0509to1014",1,0.16506,1,0.08691
16740,"Metro","Hispanic","00to0509",1,0.26107,1,0.01483
16740,"Metro","Hispanic","0509to1014",1,0.23416,1,0.07066
16740,"Metro","White","00to0509",1,0.16327,1,0.00755
16740,"Metro","White","0509to1014",1,0.1672,1,0.0299
16740,"Suburb","All","00to0509",1,0.1815,1,0.01273
16740,"Suburb","All","0509to1014",1,0.15877,1,0.05823
16740,"Suburb","Black","00to0509",1,0.18991,1,0.02864
16740,"Suburb","Black","0509to1014",1,0.16713,1,0.12376
16740,"Suburb","Hispanic","00to0509",1,0.28223,0,0.0073
16740,"Suburb","Hispanic","0509to1014",1,0.16874,1,0.05832
16740,"Suburb","White","00to0509",1,0.17102,1,0.0071
16740,"Suburb","White","0509to1014",1,0.15956,1,0.02731
16860,"City","All","00to0509",0,0.00612,0,0.04674
16860,"City","All","0509to1014",0,0.03459,1,0.09096
16860,"City","Black","00to0509",0,-0.00855,0,0.01169
16860,"City","Black","0509to1014",0,0.1078,1,0.16555
16860,"City","Hispanic","00to0509",0,-0.03029,0,0.09735
16860,"City","Hispanic","0509to1014",0,-0.03888,0,0.1131
16860,"City","White","00to0509",0,0.05,1,0.13739
16860,"City","White","0509to1014",0,-0.05807,0,-0.01252
16860,"Metro","All","00to0509",1,0.05899,1,0.02323
16860,"Metro","All","0509to1014",0,0.02836,1,0.02868
16860,"Metro","Black","00to0509",0,0.00747,0,0.00847
16860,"Metro","Black","0509to1014",0,0.06863,1,0.13889
