"cbsa","geotype","groups","sh20_00to0509","sh20_00to0509s","sh20_0509to1014","sh20_0509to1014s","sh20_00to1014","sh20_00to1014s","sh40_00to0509","sh40_00to0509s","sh40_0509to1014","sh40_0509to1014s","sh40_00to1014","sh40_00to1014s"
16700,"Metro","Black",0.02153,"0",0.0538,"0",0.07533,"1",-0.03572,"-1",0.05754,"1",0.02182,"1"
16700,"Metro","Hispanic",-0.14581,"0",0.20221,"0",0.05639,"0",0.01061,"0",-0.06639,"0",-0.05578,"-1"
16700,"Metro","White",0.0958,"1",0.04402,"0",0.13982,"1",0.03332,"1",0.01431,"0",0.04764,"1"
16700,"Suburb","All",0.0448,"1",0.08123,"1",0.12603,"1",0.00453,"0",0.01014,"0",0.01467,"1"
16700,"Suburb","Black",0.0519,"0",0.08407,"0",0.13597,"1",0.00407,"0",0.04761,"1",0.05168,"1"
16700,"Suburb","Hispanic",-0.10848,"0",0.20484,"0",0.09635,"0",0.03204,"0",-0.07722,"0",-0.04518,"-1"
16700,"Suburb","White",0.07857,"1",0.07647,"1",0.15504,"1",0.00927,"0",-0.00295,"0",0.00632,"1"
16740,"City","All",0.13035,"1",0.22182,"1",0.35217,"1",0.06297,"1",0.05633,"1",0.1193,"1"
16740,"City","Black",0.08728,"1",0.15019,"1",0.23748,"1",0.10923,"1",0.03404,"0",0.14327,"1"
16740,"City","Hispanic",0.25648,"1",0.27507,"1",0.53155,"1",0.02602,"1",0.07881,"1",0.10483,"1"
16740,"City","White",0.13188,"1",0.20713,"1",0.33901,"1",0.01063,"0",0.04573,"1",0.05636,"1"
16740,"Metro","All",0.16026,"1",0.18736,"1",0.34762,"1",0.02791,"1",0.06129,"1",0.0892,"1"
16740,"Metro","Black",0.14588,"1",0.16506,"1",0.31094,"1",0.06751,"1",0.08691,"1",0.15442,"1"
16740,"Metro","Hispanic",0.26107,"1",0.23416,"1",0.49523,"1",0.01483,"1",0.07066,"1",0.08549,"1"
16740,"Metro","White",0.16327,"1",0.1672,"1",0.33047,"1",0.00755,"1",0.0299,"1",0.03745,"1"
16740,"Suburb","All",0.1815,"1",0.15877,"1",0.34027,"1",0.01273,"1",0.05823,"1",0.07096,"1"
